District,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Alabama Mid,7,20,34,41,39,44,43,31,29,23,22,13,10,21,17,28,47,56,30,40,40,65,56
Alabama North,66,81,109,84,110,90,114,88,79,85,83,80,89,90,94,103,129,173,145,137,127,114,99
Alabama South,21,33,58,57,47,50,57,62,36,60,68,46,77,71,77,72,93,108,78,37,81,77,52
Alaska,4,10,12,17,17,9,11,15,12,15,27,25,16,12,17,22,43,50,34,42,27,30,14
Arizona,60,81,97,110,105,113,118,85,87,69,83,78,95,58,62,73,74,74,25,28,37,46,62
Arkansas East,3,13,23,24,30,48,36,45,39,19,26,28,29,26,27,46,49,76,125,117,135,151,159
Arkansas West,7,7,12,15,11,13,14,17,21,22,26,21,22,24,18,27,20,16,22,22,30,20,26
California Central,44,68,40,47,54,42,43,51,44,44,33,31,35,20,23,61,70,63,64,64,115,82,78
California East,18,25,42,48,48,49,48,56,43,39,49,57,68,58,61,35,55,75,54,56,59,60,57
California North,47,53,69,69,66,36,32,57,55,60,75,65,91,69,62,53,69,78,94,71,76,59,65
California South,6,10,6,5,6,8,30,27,27,24,17,18,28,28,29,19,35,17,27,36,53,40,30
Colorado,58,58,72,90,63,33,37,62,52,70,62,62,46,43,88,83,76,62,46,63,56,54,59
Connecticut,18,29,22,28,23,24,24,29,23,31,23,28,16,27,27,23,14,30,33,37,34,37,25
Delaware,17,30,17,20,12,13,38,40,26,21,13,15,11,8,4,8,4,4,1,6,7,16,7
Dist of Columbia,48,83,95,86,58,28,11,10,3,9,4,13,15,10,10,9,8,39,64,74,46,37,44
Florida Mid,29,32,57,49,58,40,48,74,57,77,84,69,76,69,82,99,89,91,70,69,67,81,83
Florida North,18,13,26,20,23,19,14,22,15,26,24,22,30,30,29,29,36,34,25,23,11,23,19
Florida South,43,42,37,36,35,59,75,76,73,48,53,62,93,86,96,95,96,87,69,60,148,102,71
Georgia Mid,10,13,24,23,25,28,18,26,28,26,16,25,30,23,15,19,27,41,37,52,80,59,68
Georgia North,41,31,59,42,29,24,30,21,23,21,41,22,27,26,34,25,20,42,29,23,46,47,21
Georgia South,27,19,27,37,39,62,52,48,61,54,47,49,53,25,42,55,74,85,73,57,72,65,50
Guam,9,2,2,3,1,9,5,7,3,1,1,1,4,2,1,1,2,4,4,2,0,2,1
Hawaii,2,20,44,45,46,25,17,7,6,10,2,13,6,4,2,4,6,7,8,17,7,4,3
Idaho,14,16,17,16,19,26,24,37,23,22,18,26,16,14,32,36,46,31,41,32,43,22,27
Illinois Cent,15,27,28,33,36,41,38,35,50,41,32,36,34,37,37,38,29,31,23,43,40,39,29
Illinois North,13,29,33,32,26,26,24,25,16,28,31,39,38,26,34,55,87,87,81,148,149,105,49
Illinois South,21,20,26,25,31,21,28,27,35,42,68,68,38,43,30,30,42,45,25,45,48,31,31
Indiana North,29,32,29,69,59,77,69,73,100,102,80,74,71,53,95,76,83,69,89,100,90,57,51
Indiana South,13,26,34,29,16,20,9,15,18,9,34,25,46,42,39,49,58,107,124,120,144,53,31
Iowa North,28,24,35,33,40,53,47,39,38,52,28,37,41,54,71,42,71,95,112,95,115,97,88
Iowa South,9,25,35,47,31,34,64,67,37,35,42,61,36,41,55,60,72,77,80,95,102,85,70
Kansas,35,36,59,56,63,76,78,74,81,71,106,83,89,61,61,95,88,71,51,78,60,52,41
Kentucky East,27,34,35,37,34,46,43,47,34,29,24,21,19,24,20,19,27,29,30,25,24,32,27
Kentucky West,19,17,15,14,17,13,12,19,11,11,19,20,11,9,21,23,30,50,64,44,34,38,53
Louisiana East,52,67,46,37,42,33,48,22,18,26,17,18,13,10,13,16,15,13,15,16,26,46,55
Louisiana Middle,13,13,28,31,38,28,25,26,33,21,39,23,20,17,10,26,28,40,29,34,26,11,10
Louisiana West,12,26,45,50,61,31,26,28,25,25,13,15,13,6,9,8,36,53,43,46,46,61,54
Maine,26,23,38,30,22,27,27,22,15,20,18,14,10,8,13,20,17,12,12,18,13,17,8
Maryland,77,44,75,90,64,58,68,87,84,88,97,60,56,59,63,83,82,92,52,57,63,59,92
Massachusetts,16,25,28,29,22,36,32,43,36,42,42,30,28,35,33,27,18,24,27,22,31,20,25
Michigan East,79,97,81,56,50,42,35,53,55,85,102,128,131,92,99,113,84,87,59,100,148,146,109
Michigan West,26,56,40,49,55,37,40,49,38,44,39,26,21,11,13,33,30,30,36,46,27,36,50
Minnesota,10,7,18,18,16,39,29,16,18,24,16,7,15,24,41,30,23,20,15,22,53,65,67
Mississippi North,2,5,13,18,20,13,13,6,12,12,12,25,23,12,8,9,32,30,25,14,19,31,29
Mississippi South,38,30,48,45,51,52,50,33,25,22,21,25,16,11,28,28,52,93,63,63,85,69,39
Missouri East,70,98,122,134,116,123,138,135,142,95,74,88,89,85,170,178,229,390,339,386,360,312,343
Missouri West,119,141,204,196,213,202,169,155,126,118,141,128,142,143,149,206,174,180,183,186,204,156,147
Montana,14,22,42,27,40,45,37,45,30,15,34,22,22,31,31,50,68,56,50,65,74,69,56
N Carolina East,46,100,129,139,102,105,128,104,124,117,94,96,72,62,76,81,109,148,132,194,152,139,101
N Carolina Mid,54,55,82,67,81,59,48,89,124,116,89,120,121,108,93,79,89,115,129,104,120,89,81
N Carolina West,24,25,27,76,103,103,71,51,53,55,41,48,79,65,85,58,66,67,71,99,120,62,75
N Mariana Islands,1,0,0,0,0,0,1,0,2,0,0,1,1,0,1,1,0,0,0,0,0,1,0
Nebraska,24,47,68,94,79,81,61,58,66,43,35,29,38,34,33,35,21,28,38,35,49,53,29
Nevada,48,114,98,94,45,81,28,42,44,63,66,64,57,72,63,83,93,93,56,58,96,63,31
New Hampshire,4,11,17,14,15,19,8,7,9,11,8,4,5,4,6,14,11,7,11,10,7,8,4
New Jersey,40,71,61,61,59,90,90,76,116,67,85,83,60,50,44,41,57,91,75,100,107,97,90
New Mexico,36,34,39,53,62,52,41,47,78,77,99,74,64,54,53,87,60,69,64,104,157,157,98
New York East,38,69,48,52,29,41,55,44,38,29,15,16,22,15,21,43,31,34,19,39,74,61,46
New York North,18,15,17,25,33,24,17,14,15,33,23,16,17,8,10,25,13,14,9,16,27,22,18
New York South,37,87,77,86,73,52,60,47,37,40,41,49,57,39,91,69,60,40,34,67,121,113,97
New York West,45,46,51,46,43,66,34,25,33,24,30,18,18,12,11,27,17,15,22,23,37,44,29
North Dakota,15,17,22,18,16,13,21,15,12,11,14,22,8,22,21,19,18,11,6,15,17,20,24
Ohio North,47,56,83,97,83,66,77,88,88,85,130,98,113,75,64,43,99,122,120,174,244,164,101
Ohio South,11,36,31,62,52,39,37,37,49,50,32,39,45,35,46,61,61,60,90,80,117,104,106
Oklahoma East,5,13,23,14,11,8,7,13,13,15,13,14,5,11,22,16,14,23,17,10,2,6,45
Oklahoma North,13,26,25,27,36,33,37,34,39,25,34,22,20,16,17,16,24,28,36,43,52,31,33
Oklahoma West,10,17,26,18,13,18,37,42,32,24,31,32,33,16,15,17,25,54,62,73,57,130,127
Oregon,51,69,92,82,50,53,63,46,58,53,71,85,64,63,53,63,35,44,46,35,43,44,46
Penn. East,52,71,61,72,53,27,47,45,53,44,48,41,27,21,21,25,23,25,21,30,50,50,56
Penn. Mid,12,17,22,15,14,18,17,13,8,8,6,5,12,7,8,13,18,19,14,4,9,19,10
Penn. West,13,15,11,41,50,48,44,41,29,22,12,29,21,25,12,25,28,29,33,32,48,59,47
Puerto Rico,2,7,3,9,10,20,16,6,10,22,51,164,138,155,116,128,110,138,97,54,46,54,46
Rhode Island,16,16,22,16,12,13,4,7,20,20,27,8,15,4,10,5,5,6,4,2,5,5,6
South Carolina,51,89,101,81,81,94,116,116,110,123,76,53,63,44,69,112,163,166,69,73,61,91,95
South Dakota,12,13,11,13,15,16,23,23,18,15,14,22,21,20,33,36,35,41,53,57,64,65,75
Tennessee East,47,27,60,66,57,56,72,86,99,102,100,110,104,87,102,100,118,107,95,93,134,126,80
Tennessee Mid,20,21,23,46,34,44,45,53,68,61,44,26,24,24,17,22,39,47,50,68,81,70,71
Tennessee West,21,82,124,137,96,102,114,157,135,138,105,109,109,108,114,109,135,133,91,86,125,102,63
Texas East,33,50,57,67,100,91,79,74,84,72,81,81,68,51,44,45,73,49,66,71,82,85,140
Texas North,65,58,66,62,82,73,89,76,60,71,75,81,96,136,132,178,170,190,159,239,278,258,167
Texas South,153,111,106,149,139,122,110,115,120,130,126,93,100,112,115,158,157,146,121,139,139,137,160
Texas West,70,82,131,145,129,155,168,185,146,130,161,131,111,145,123,197,204,182,186,225,255,181,179
Utah,101,176,179,135,102,117,89,73,95,95,50,67,49,62,86,87,101,133,95,114,156,129,135
Vermont,13,6,20,14,11,16,16,14,10,13,12,15,9,7,5,4,6,12,14,11,18,19,13
Virgin Islands,7,3,2,4,1,2,7,10,6,7,8,3,3,6,7,9,5,3,2,4,4,1,0
Virginia East,80,67,86,49,53,72,56,70,69,55,40,46,40,35,58,54,69,55,36,50,56,75,72
Virginia West,47,52,42,40,43,27,22,17,22,12,20,10,7,3,14,13,8,12,15,13,7,11,18
W Virginia North,21,22,26,20,28,23,29,18,26,20,19,29,27,25,22,40,37,27,24,30,43,31,30
W Virginia South,21,34,18,34,15,19,26,19,18,32,22,24,27,17,16,28,33,42,46,36,41,30,24
Washington East,11,29,34,32,31,45,28,33,28,36,36,44,37,31,23,35,41,34,22,19,26,39,38
Washington West,15,14,27,31,28,28,26,32,42,40,46,41,33,28,36,48,40,23,13,21,13,16,15
Wisconsin East,32,22,32,41,25,32,47,48,63,46,64,47,35,27,47,23,34,24,24,21,38,45,31
Wisconsin West,10,13,19,19,20,20,16,18,12,9,16,18,15,15,17,4,14,22,26,27,22,20,16
Wyoming,9,21,41,27,33,42,39,33,27,28,32,20,23,17,16,29,33,18,18,35,18,26,29
