District,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Alabama Mid,158,178,179,215,252,243,269,236,243,230,211,236,223,201,157,203,238,260,140,122,164,218,272
Alabama North,512,507,575,480,517,582,493,489,432,473,449,506,448,347,361,434,517,545,453,445,442,405,439
Alabama South,311,322,295,329,394,356,556,430,307,439,452,351,397,329,317,333,287,376,301,228,308,308,237
Alaska,165,157,193,210,146,132,169,184,158,153,211,200,156,165,182,179,197,193,108,148,140,177,136
Arizona,3476,4576,4713,4521,4308,4721,3869,4784,6792,9362,8919,6903,6599,6154,5769,5447,4649,5610,4566,4371,4454,4812,3904
Arkansas East,247,239,299,308,380,366,434,416,392,325,397,413,354,353,378,432,453,564,474,546,555,548,517
Arkansas West,144,194,191,201,186,182,209,255,258,318,328,305,320,277,253,237,238,258,247,185,219,177,207
California Central,1760,1841,1683,1881,1633,1701,1892,1937,2127,1895,1798,1684,1263,1078,964,1017,1110,1143,918,876,1128,944,926
California East,773,940,932,913,1043,946,892,1036,1005,1046,1035,994,912,734,672,521,477,511,408,282,366,392,445
California North,731,699,707,770,662,657,718,907,884,814,752,706,703,568,464,517,535,485,557,369,377,386,477
California South,3902,3806,3427,2537,2639,3248,3822,4838,4586,4835,5309,4905,3915,3391,2849,2888,3889,4089,3499,2927,3474,3189,2634
Colorado,573,608,548,632,682,548,488,524,531,667,567,588,541,437,483,436,525,529,400,370,389,340,382
Connecticut,332,403,363,411,362,405,419,407,428,342,446,421,355,334,304,345,322,349,353,302,335,355,249
Delaware,85,153,116,145,101,107,146,159,131,121,93,102,97,90,72,84,77,122,89,52,81,104,95
Dist of Columbia,420,509,570,533,460,450,409,378,394,365,355,344,339,256,255,232,219,331,272,253,312,503,536
Florida Mid,1460,1573,1694,1703,1724,1604,1670,1648,1678,1529,1691,1545,1433,1384,1415,1520,1542,1594,1222,1066,1018,1104,1136
Florida North,335,381,455,336,429,441,351,406,396,374,358,357,324,255,262,277,300,309,275,264,266,254,260
Florida South,2553,2352,2080,2367,2030,2326,2273,2418,2355,2138,2175,2407,2261,2236,2234,2365,2251,1987,1326,813,1719,1552,1377
Georgia Mid,353,569,459,452,494,538,443,423,421,445,454,508,508,377,368,466,429,420,355,386,453,384,428
Georgia North,786,775,749,703,757,609,720,789,703,711,665,515,609,592,542,530,570,513,490,544,609,585,477
Georgia South,290,413,390,432,504,544,517,558,710,752,527,464,639,420,404,414,462,474,408,443,500,371,367
Guam,139,95,83,106,82,68,68,62,58,54,59,68,99,91,67,55,44,49,42,37,26,26,39
Hawaii,375,334,386,403,452,359,279,303,166,206,242,252,291,239,141,128,153,154,124,168,140,119,108
Idaho,201,272,266,220,263,251,267,336,301,348,285,323,313,264,259,342,377,372,321,241,337,292,304
Illinois Cent,348,373,336,314,332,391,392,349,376,360,417,367,419,329,259,249,241,226,227,232,279,260,249
Illinois North,1118,1267,1022,1020,1105,850,928,919,882,928,845,870,872,725,640,640,740,655,540,619,621,620,549
Illinois South,294,352,314,270,374,344,312,314,318,345,413,433,373,398,317,266,266,286,234,221,261,261,224
Indiana North,405,394,324,375,405,426,455,452,464,454,407,427,371,273,300,290,373,360,316,342,327,262,236
Indiana South,240,278,318,301,315,314,295,233,331,289,433,385,394,375,330,423,414,472,537,413,515,393,352
Iowa North,358,423,498,386,421,455,590,349,344,520,390,373,368,361,348,376,370,415,365,326,333,338,295
Iowa South,291,405,348,371,366,373,472,469,456,407,426,414,300,309,353,404,477,493,421,495,454,440,328
Kansas,515,566,702,673,702,649,679,741,728,699,722,686,675,595,491,582,486,465,311,420,371,341,340
Kentucky East,484,483,481,493,530,579,681,703,637,608,501,476,598,513,439,360,392,557,431,427,497,444,437
Kentucky West,437,444,440,401,445,536,497,425,508,435,411,467,289,270,332,277,303,349,347,276,263,337,357
Louisiana East,408,502,383,399,370,424,480,440,414,347,361,323,313,389,341,357,275,294,184,205,300,331,342
Louisiana Middle,114,121,176,160,172,166,204,176,202,140,230,194,180,167,163,171,154,186,123,103,103,96,95
Louisiana West,360,362,389,409,494,488,340,351,397,305,435,338,293,238,252,273,252,381,292,240,318,340,285
Maine,218,172,243,230,205,191,210,227,169,193,191,239,199,188,202,197,178,162,118,199,180,116,132
Maryland,525,704,576,724,672,699,783,801,794,901,1059,875,816,775,733,728,838,777,469,525,579,503,449
Massachusetts,619,567,498,466,516,581,472,522,449,570,519,492,451,524,496,505,529,476,387,422,466,477,531
Michigan East,770,703,779,747,793,759,737,716,750,827,908,903,960,849,901,864,934,879,533,489,719,696,642
Michigan West,390,449,359,387,435,447,455,484,544,501,466,423,387,394,330,369,359,392,320,291,265,240,226
Minnesota,391,480,428,522,558,541,579,625,505,454,446,316,291,377,494,413,295,382,334,258,325,353,380
Mississippi North,165,169,167,197,174,193,185,139,172,184,171,202,224,158,169,158,173,188,136,87,133,164,185
Mississippi South,364,437,361,404,386,431,453,358,332,309,289,362,270,278,238,281,342,456,386,262,324,372,322
Missouri East,630,757,890,948,987,975,1015,1053,1048,817,790,664,697,554,740,670,847,1192,925,1065,1032,954,1012
Missouri West,654,700,761,753,911,808,779,832,659,658,783,684,830,897,835,804,779,772,697,582,810,841,783
Montana,348,351,389,400,434,366,420,405,378,312,390,353,311,363,321,318,356,385,324,333,348,369,367
N Carolina East,604,659,590,724,674,611,692,659,766,853,816,782,696,586,651,654,744,876,708,922,761,847,827
N Carolina Mid,446,354,365,465,416,429,355,431,552,529,421,436,497,508,423,407,403,490,404,365,403,326,283
N Carolina West,594,596,541,607,812,766,807,530,502,551,435,614,629,693,658,555,566,538,513,502,553,362,305
N Mariana Islands,6,23,34,30,11,19,18,26,28,10,15,31,15,13,22,13,14,11,10,16,17,25,40
Nebraska,528,708,810,787,703,703,642,651,602,563,602,612,595,590,542,551,494,527,482,380,471,567,440
Nevada,606,712,628,570,392,655,433,406,620,651,621,633,510,552,401,485,458,482,293,299,387,362,271
New Hampshire,130,187,220,176,219,239,223,205,231,204,158,166,150,144,177,212,184,196,200,197,180,160,118
New Jersey,835,875,813,1010,941,1013,1000,892,818,805,854,787,668,701,669,594,467,620,595,629,641,723,830
New Mexico,1814,2040,2232,2575,2843,2520,2905,3427,3723,3152,3052,3822,4329,4434,4988,3794,3950,3951,3192,1415,2075,2006,1696
New York East,1723,1867,1444,1285,1104,1043,1246,1213,1176,1150,965,903,971,795,796,739,663,622,360,498,693,709,727
New York North,394,396,511,495,409,450,533,547,515,583,622,519,417,344,317,345,384,392,305,235,400,459,507
New York South,1608,1829,1462,1650,1763,1654,1588,1649,1435,1593,1540,1548,1690,1648,1350,1463,1446,1515,926,943,1297,1148,1048
New York West,451,499,568,663,596,762,657,715,667,803,665,596,554,520,465,455,503,520,350,322,411,411,365
North Dakota,147,214,223,245,252,211,254,278,261,275,288,327,339,424,361,326,370,329,252,289,345,413,327
Ohio North,869,928,802,1032,976,881,905,673,667,631,909,895,773,680,585,546,716,901,787,819,1141,880,829
Ohio South,393,529,467,616,709,631,627,619,682,744,630,593,644,590,502,540,574,562,552,507,583,623,577
Oklahoma East,83,81,151,99,80,95,89,98,113,104,92,116,89,99,100,107,96,101,105,89,179,215,311
Oklahoma North,153,174,189,202,202,231,214,218,155,197,203,250,251,186,213,168,195,217,240,328,439,400,636
Oklahoma West,179,176,623,346,356,552,556,502,419,508,518,373,374,337,330,292,378,407,473,409,424,677,687
Oregon,549,656,629,622,527,565,644,640,633,665,651,689,602,582,448,412,421,475,362,391,378,410,521
