District,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Alabama Mid,0,0,1,1,0,1,1,0,2,0,0,1,0,0,0,1,1,2,2,0,1,2,2
Alabama North,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,4,2,3,0,1,0
Alabama South,1,0,0,2,0,0,2,1,1,2,3,5,3,1,2,2,1,5,1,3,2,3,1
Alaska,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,1,0,0
Arizona,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Arkansas East,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,2,0,1
Arkansas West,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
California Central,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
California East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
California North,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0
California South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,1,1,1,1
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
Delaware,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dist of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Florida Mid,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,2,4
Florida North,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,2,1,0,0,0
Florida South,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,1,0,2,0,1,1,0
Georgia Mid,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0
Georgia North,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,2
Georgia South,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,2,2,1,0,0,1,2
Guam,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Idaho,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Illinois Cent,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Illinois North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1
Illinois South,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Indiana North,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,1,1,1,0,0,0
Indiana South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
Iowa North,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,4,3,4,1,2,2,0
Iowa South,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,3,6,4,3
Kansas,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
Kentucky East,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,2,1,1
Kentucky West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1
Louisiana East,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,4
Louisiana Middle,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,1,1,0,1
Louisiana West,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,1,0,2
Maine,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Maryland,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Massachusetts,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Michigan East,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,0,1,3,3
Michigan West,0,1,0,0,0,0,1,2,1,0,0,0,2,0,0,2,0,1,1,0,1,0,3
Minnesota,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mississippi North,0,0,2,0,0,0,0,1,0,0,1,1,1,0,0,1,2,3,0,0,0,1,0
Mississippi South,1,0,0,1,3,1,0,0,2,0,1,1,0,0,0,1,0,2,2,1,2,1,4
Missouri East,0,0,1,1,0,1,2,1,1,2,0,0,0,0,0,0,2,3,1,0,3,4,5
Missouri West,0,0,1,1,0,0,0,1,0,2,4,1,0,2,1,3,3,2,0,2,3,4,2
Montana,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
N Carolina East,1,0,2,2,0,1,6,6,3,5,3,2,3,0,1,2,6,4,6,9,6,17,13
N Carolina Mid,0,0,0,0,0,2,0,2,1,2,3,5,3,4,3,6,1,3,4,7,8,0,7
N Carolina West,0,0,0,3,0,1,1,2,1,2,1,1,1,2,2,3,1,0,5,3,6,1,0
N Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,2,2,3
New Mexico,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,1,0,0,1,0,0,1,6
New York East,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,4,8,5,2
New York North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York South,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3,4,1,3,22,22,19
New York West,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ohio North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0
Ohio South,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,1,0,1,4,1,1,1,1
Oklahoma East,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,1,1,0,0,0,1
Oklahoma North,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,1,0,1,0,0
Oklahoma West,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,6,3,5,4,10
Oregon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penn. East,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,2
