District,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Alabama Mid,0,0,84.0,27.0,0,78.0,120.0,0,160.0,0,0,30.0,0,0,0,92.0,90.0,82.0,120.0,0,77.0,106.0,150.0
Alabama North,0,87.0,0,0,0,0,0,103.5,120.0,100.0,0,0,0,0,0,70.5,0,102.75,56.0,65.67,0,106.0,0
Alabama South,15.0,0,0,108.0,0,0,60.0,78.0,39.0,120.0,62.0,83.0,102.0,120.0,132.0,57.5,46.0,120.0,120.0,97.0,75.0,94.0,100.0
Alaska,0,0,0,0,0,0,0,0,0,0,59.0,0,0,0,0,120.0,99.0,0,0,72.0,60.0,0,0
Arizona,0,0,120.0,41.0,0,14.0,0,0,0,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Arkansas East,0,0,0,0,0,0,24.0,0,120.0,0,0,51.0,0,0,0,0,0,0,120.0,120.0,52.0,0,46.0
Arkansas West,0,0,0,0,0,0,0,0,0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Central,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0
California East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0,120.0,0,0,0,0,0,0,0
California North,0,0,0,0,0,0,0,0,0,0,108.0,144.0,120.0,0,57.0,0,0,0,0,60.0,0,36.0,0
California South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,0,0,57.0,0,0,0,0,0,0,0,0,90.0,0,0,75.0,0,0,0,108.5,120.0,43.0,120.0,100.0
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0,0,120.0
Delaware,0,0,0,0,0,0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dist of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,0,0
Florida Mid,0,0,0,0,0,0,0,0,0,0,90.0,0,0,0,0,0,180.0,0,120.0,46.0,57.0,51.0,117.0
Florida North,71.0,0,71.0,0,0,0,0,144.0,0,0,0,0,96.0,175.0,0,210.0,0,0,84.0,72.0,0,0,0
Florida South,0,0,0,0,0,84.0,0,0,0,0,0,0,73.5,0,80.67,0,240.0,0,132.0,0,120.0,120.0,0
Georgia Mid,0,0,0,0,0,0,0,0,0,0,240.0,120.0,0,108.0,0,0,0,57.0,0,0,120.0,0,0
Georgia North,0,0,0,0,112.0,18.0,0,0,0,0,120.0,0,41.0,0,0,51.0,0,0,0,0,0,103.0,170.0
Georgia South,0,0,0,0,120.0,163.0,46.0,0,120.0,0,0,0,0,0,0,57.0,83.0,117.5,120.0,0,0,90.0,91.0
Guam,0,0,0,0,0,0,0,120.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii,0,0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0,0,0,0
Idaho,0,0,0,0,0,0,0,0,0,0,0,180.0,0,0,0,0,0,0,0,0,0,120.0,0
Illinois Cent,0,0,0,0,0,0,0,0,0,0,0,30.0,0,120.0,0,24.0,0,0,0,0,0,0,0
Illinois North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,104.0,66.0,180.0
Illinois South,0,0,46.0,0,0,0,66.0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,240.0,0,92.0
Indiana North,0,0,0,0,0,0,0,0,0,0,0.0,39.0,0,38.5,117.0,0,0,120.0,114.0,55.0,0,0,0
Indiana South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.0,0,60.0,180.0,0,0,0
Iowa North,0,0,0,0,0,0,34.0,0,0,57.0,0,0,0,30.0,27.0,0,77.5,116.0,111.5,120.0,120.0,88.5,0
Iowa South,0,0,0,0,0,0,0,0,0,0,120.0,0,100.0,0,0,0,0,78.0,120.0,95.33,101.67,109.0,115.67
Kansas,0,0,0,0,0,240.0,0,0,0,62.0,0,0,0,0,0,0,120.0,0,0,0,0,0,0
Kentucky East,0,0,0,0,0,0,0,0,26.0,0,0,0,62.0,115.0,0,0,120.0,0,0,0,180.0,71.0,120.0
Kentucky West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,0,0,92.5,0,0,102.0,63.0
Louisiana East,0,0,0,0,0,0,0,0,0,0,120.0,0,0,60.0,0,100.5,0,0,0,0,0,160.0,137.5
Louisiana Middle,0,46.0,57.0,0,0,0,0,0,120.0,78.0,0,0,0,0,110.0,0,0,120.0,0,72.0,120.0,0,57.0
Louisiana West,0,0,84.5,0,0,0,0,120.0,0,0,0,120.0,0,0,0,0,0,63.33,0,0,120.0,0,96.0
Maine,0,0,0,74.0,0,120.0,0,0,0,0,0,0,0,0,0,120.0,57.0,0,0,0,0,0,0
Maryland,0,0,0,0,0,0,78.0,0,0,0,0,0,0,0,0,0,0,84.0,0,0,0,0,0
Massachusetts,0,0,0,0,0,0,0,0,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0
Michigan East,0,0,0,0,0,0,0,0,0,0,0,0,89.5,0,0,64.0,0,18.0,23.0,0,120.0,57.33,89.67
Michigan West,0,110.0,0,0,0,0,78.0,75.0,51.0,0,0,0,79.0,0,0,63.5,0,65.0,120.0,0,78.0,0,152.33
Minnesota,0,37.0,0,0,0,0,0,0,0,0,0,0,0,0,120.0,0,0,0,0,0,0,0,0
Mississippi North,0,0,120.0,0,0,0,0,0.0,0,0,64.0,24.0,0.0,0,0,80.0,26.5,57.33,0,0,0,33.0,0
Mississippi South,81.0,0,0,120.0,112.67,120.0,0,0,60.5,0,120.0,108.0,0,0,0,96.0,0,120.0,75.0,36.0,76.5,120.0,88.0
Missouri East,0,0,87.0,96.0,0,120.0,113.0,78.0,93.0,120.0,0,0,0,0,0,0,220.0,100.33,33.0,0,77.0,48.25,76.4
Missouri West,0,0,33.0,151.0,0,0,0,36.0,0,120.0,117.0,120.0,0,117.0,108.0,105.0,116.33,63.0,0,90.0,87.0,106.75,120.5
Montana,0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,0,32.0,0
N Carolina East,64.0,0,72.0,106.5,0,120.0,119.5,130.33,89.0,84.2,117.0,120.0,113.67,0,108.0,69.0,134.67,120.0,93.5,119.44,90.33,106.41,106.15
N Carolina Mid,0,0,0,0,0,82.0,0,120.0,92.0,82.5,108.67,97.2,158.0,103.75,95.33,105.17,119.0,98.33,102.0,96.29,149.62,0,111.14
N Carolina West,0,0,0,81.67,0,120.0,120.0,92.5,120.0,86.0,120.0,27.0,87.0,77.0,54.0,91.33,120.0,0,80.4,41.67,64.5,180.0,0
N Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,120.0,0,0,0,0,0,0,0,0,0,0
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,0,68.67,0
New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,0,0,0,0,0,0,0,0,0,0,0,120.0,0,0,0,0,240.0,0,0,75.0,78.0,37.0,97.33
New Mexico,0,0,0,0,0,0,0,0,0,0,52.5,62.0,120.0,55.5,120.0,240.0,0,0,108.0,0,0,120.0,89.5
New York East,0,0,0,0,0,0,200.0,0,96.0,0,0,0,0,0,0,31.5,0,84.0,0,63.5,61.25,83.0,81.5
New York North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York South,0,34.0,0,0,0,0,0,0,0,72.0,0,0,0,0,49.5,108.0,68.0,79.75,48.0,61.33,83.86,77.59,77.37
New York West,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0,0,120.0,0,0,0,0,0,0,0
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.0
Ohio North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,120.0,41.33,37.0,110.0,0
Ohio South,0,0,0,95.0,0,0,0,0,0,94.14,0,0,0,0,0,100.0,0,84.0,59.75,30.0,56.0,34.0,33.0
Oklahoma East,0,0,0,0,0,0,94.0,0,0,45.0,0,0,0,0,0,120.0,0,120.0,120.0,0,0,0,60.0
Oklahoma North,0,0,0,0,0,120.0,0,0,92.5,0,0,0,0,0,0,92.0,46.0,0,18.0,0,108.0,0,0
Oklahoma West,0,0,0,0,0,0,0,0,120.0,0,0,0,0,0,0,27.0,200.0,109.33,88.17,86.0,114.4,72.0,129.8
Oregon,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penn. East,0,0,0,120.0,0,120.0,0,0,12.0,0,120.0,110.0,0,0,24.0,0,0,0,120.0,0,0,66.0,120.0
Penn. Mid,0,0,0,0,0,105.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penn. West,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,0,0,0,0,0,0,0,0,0
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,120.0,180.0,120.0,120.0,0,0,70.0,0,0,63.0,0
Rhode Island,0,0,0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,103.0,72.0,46.67,0,97.0,0,80.33,84.33,120.0,46.0,98.4,78.0,120.0,60.0,118.33,103.8,100.86,90.27,94.0,88.6,89.0,79.8,88.5
South Dakota,0,0,0,0,0,0,0,48.0,0,0,0,51.0,0,0,0,0,0,0,0,0,0,0,0
Tennessee East,27.0,36.0,195.5,0,0,0,0,83.8,120.0,83.0,0,96.5,95.0,96.0,108.0,93.5,110.0,113.5,0.0,120.0,75.0,41.0,44.67
Tennessee Mid,0,108.0,0,0,0,0,120.0,0,120.0,0,156.0,120.0,63.0,0,0,100.0,102.33,59.83,127.0,112.0,79.0,65.25,76.6
Tennessee West,0,24.0,120.0,0,145.33,120.0,104.5,83.4,49.86,85.43,96.9,96.4,84.8,118.29,110.0,55.17,56.33,61.5,91.5,96.0,111.0,92.8,90.0
Texas East,0,180.0,55.0,0,72.0,0,0,0,0,0,46.0,0,24.0,0,57.0,0,33.0,96.0,0,0,49.0,61.5,45.0
Texas North,120.0,0,120.0,0,80.5,96.0,87.33,0,120.0,120.0,0,0,104.0,120.0,56.0,46.0,71.33,95.5,99.0,66.0,117.6,80.44,139.5
Texas South,0,0,114.0,0,48.0,120.0,0,114.0,0,0,120.0,0,122.0,0,120.0,120.0,0,73.0,110.0,0,58.33,71.5,94.25
