District,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Alabama Mid,7,18,33,39,38,38,42,28,27,23,22,12,9,21,17,27,46,53,28,40,39,63,53
Alabama North,66,79,106,83,108,88,113,84,78,83,82,80,89,90,94,99,129,168,141,133,127,112,98
Alabama South,20,33,55,55,43,43,54,61,35,58,64,41,74,70,75,69,92,103,77,34,79,73,50
Alaska,4,9,12,17,17,9,11,15,12,14,22,24,15,12,17,21,40,49,34,41,26,30,14
Arizona,58,78,92,108,104,111,117,82,85,67,82,78,94,58,62,69,71,73,24,28,36,46,60
Arkansas East,2,13,22,20,29,46,33,44,38,19,25,27,29,26,27,46,49,76,124,116,133,151,157
Arkansas West,7,7,10,15,10,13,14,17,21,21,26,21,22,23,18,26,20,15,21,22,30,20,26
California Central,44,66,38,45,52,41,43,50,44,44,33,31,32,20,23,58,69,59,64,62,114,82,73
California East,17,24,41,48,46,49,47,56,42,39,49,56,64,58,60,34,54,75,53,55,59,57,57
California North,44,52,67,66,65,34,27,51,53,55,74,64,88,68,60,52,67,77,94,69,76,56,63
California South,6,9,6,5,5,8,26,23,27,24,16,18,25,26,24,19,31,16,25,34,51,40,29
Colorado,58,58,71,89,62,33,36,62,50,67,62,60,45,43,84,83,76,62,44,62,55,52,58
Connecticut,18,29,22,27,23,24,23,28,22,31,22,28,16,27,27,23,14,30,33,37,30,37,23
Delaware,16,30,17,20,12,13,36,40,26,21,13,15,11,8,4,8,4,4,1,6,7,16,7
Dist of Columbia,48,81,91,84,57,27,11,9,3,7,4,13,14,9,10,9,8,39,63,73,44,37,44
Florida Mid,22,28,52,46,56,40,48,72,56,77,83,68,75,69,82,98,88,91,68,67,66,77,79
Florida North,17,13,23,20,23,19,14,20,15,26,23,20,29,28,28,28,36,34,23,22,11,22,19
Florida South,41,39,34,36,34,55,73,76,71,48,49,60,90,85,92,92,86,85,67,58,146,99,69
Georgia Mid,9,13,24,23,25,28,18,26,28,26,15,24,30,22,15,19,27,40,37,52,78,59,68
Georgia North,41,29,59,40,24,23,28,21,23,20,40,22,26,25,33,24,20,42,29,23,46,45,19
Georgia South,27,19,26,36,38,61,49,45,60,54,47,49,52,25,41,54,72,83,72,57,72,64,48
Guam,9,2,2,3,1,9,5,6,2,1,1,1,4,2,1,1,2,4,4,2,0,2,1
Hawaii,2,20,43,43,46,25,17,7,6,10,2,13,6,4,2,4,6,7,8,16,7,4,3
Idaho,14,14,17,16,18,26,23,37,23,22,18,25,16,14,32,34,46,31,40,32,43,21,27
Illinois Cent,15,27,24,33,34,41,38,35,50,41,31,35,34,36,37,37,29,31,23,43,40,38,29
Illinois North,13,26,32,29,26,25,24,25,16,27,31,39,36,26,33,55,85,87,79,146,145,103,48
Illinois South,21,19,24,25,30,21,26,26,35,42,66,67,38,43,30,30,42,44,25,44,47,31,30
Indiana North,29,32,29,68,59,76,69,73,100,100,78,73,71,51,94,76,83,68,88,99,90,57,51
Indiana South,13,26,28,29,14,20,9,15,18,9,33,25,46,41,38,49,57,107,122,119,144,53,31
Iowa North,28,23,33,32,40,53,43,39,38,51,27,36,41,53,70,42,67,92,107,94,113,95,87
Iowa South,9,25,34,46,30,34,64,67,37,35,41,61,34,41,55,60,72,75,78,92,96,81,65
Kansas,35,36,59,55,63,72,78,74,80,68,104,83,87,60,61,94,81,71,51,78,60,52,41
Kentucky East,24,33,33,36,34,44,42,46,32,29,22,21,18,23,20,19,26,28,29,25,22,31,25
Kentucky West,19,16,15,14,17,12,10,19,11,11,18,20,9,9,21,22,30,48,62,43,34,37,50
Louisiana East,52,67,46,33,41,33,48,22,18,25,16,18,12,9,13,14,15,13,15,16,25,45,50
Louisiana Middle,13,10,27,31,38,28,25,25,32,20,39,23,20,17,9,25,27,38,29,33,24,11,9
Louisiana West,12,26,42,48,60,30,26,25,25,25,12,13,13,6,9,8,36,50,43,46,45,61,52
Maine,26,22,36,27,22,25,27,22,15,20,18,14,10,8,13,19,16,12,12,18,13,16,8
Maryland,77,41,73,88,60,57,63,84,78,80,89,56,56,55,58,78,79,89,48,53,62,58,87
Massachusetts,16,24,28,26,20,36,32,42,34,42,42,30,27,35,33,27,17,24,27,22,31,20,24
Michigan East,78,96,80,55,44,41,34,53,55,85,100,127,126,92,98,112,84,84,56,100,146,143,106
Michigan West,26,54,38,47,52,35,38,46,37,43,39,26,19,11,13,31,30,29,35,46,26,36,47
Minnesota,10,6,17,18,15,38,29,15,18,23,16,7,15,24,40,30,23,20,15,22,53,65,67
Mississippi North,2,5,11,17,19,13,12,5,11,12,11,24,22,11,8,8,28,27,25,14,19,30,29
Mississippi South,34,28,47,41,47,51,48,32,23,22,20,24,16,11,27,27,52,91,61,62,82,68,35
Missouri East,70,93,120,132,113,120,135,134,141,92,74,88,89,84,170,178,227,386,336,383,356,306,337
Missouri West,119,141,196,190,209,202,167,154,126,116,136,127,142,138,148,203,170,178,183,184,201,152,145
Montana,14,21,41,27,40,45,37,45,30,15,34,22,22,31,31,50,67,56,50,64,74,68,56
N Carolina East,44,97,124,135,99,102,121,95,121,110,89,94,68,62,75,79,103,143,125,185,144,122,87
N Carolina Mid,51,54,79,66,80,57,48,86,122,113,86,115,115,103,90,73,88,112,125,97,112,88,74
N Carolina West,24,24,26,72,100,98,67,48,51,53,40,47,78,63,81,54,64,67,66,95,114,60,74
N Mariana Islands,1,0,0,0,0,0,1,0,2,0,0,1,1,0,1,1,0,0,0,0,0,1,0
Nebraska,24,46,66,92,78,81,61,58,66,43,35,28,37,34,33,35,21,28,38,35,49,53,29
Nevada,47,114,97,94,45,81,26,41,44,62,66,64,56,72,63,83,92,91,56,56,96,60,30
New Hampshire,4,11,16,13,15,19,8,7,9,11,8,4,5,4,6,14,10,7,11,10,7,8,4
New Jersey,34,69,55,60,58,88,89,75,115,67,84,81,60,49,44,41,56,91,75,96,104,93,85
New Mexico,35,34,38,52,62,51,40,47,77,77,97,72,63,52,52,86,60,69,61,104,156,155,92
New York East,37,69,47,51,28,38,52,41,36,27,15,16,22,15,20,41,31,32,19,35,65,54,44
New York North,17,13,17,24,33,24,16,14,15,33,23,16,15,8,10,25,13,14,9,15,27,22,17
New York South,37,82,73,85,73,52,60,47,36,38,40,49,55,39,89,68,55,35,33,64,99,89,77
New York West,43,45,49,45,40,64,34,25,32,23,30,18,18,11,11,26,17,15,22,23,37,44,29
North Dakota,15,17,20,18,16,13,20,15,12,11,14,22,8,22,21,19,18,11,6,15,17,20,22
Ohio North,47,54,83,97,83,65,75,87,88,85,129,96,113,75,63,43,97,120,118,171,239,162,101
Ohio South,11,36,31,60,52,38,36,37,49,43,31,39,45,34,46,60,61,56,86,78,114,102,104
Oklahoma East,5,12,23,14,11,8,6,13,13,13,13,14,5,11,22,14,14,22,16,10,2,6,43
Oklahoma North,13,26,23,26,36,32,37,33,36,25,34,21,20,16,17,15,23,28,35,43,50,30,33
Oklahoma West,10,17,25,15,12,18,37,41,30,23,31,32,33,16,15,16,24,50,56,70,52,126,116
Oregon,47,69,88,78,46,50,59,44,57,51,71,84,64,62,52,63,34,44,46,35,43,43,45
Penn. East,50,68,58,70,52,26,44,44,51,44,47,39,27,21,20,24,23,25,20,30,50,48,54
Penn. Mid,10,17,22,15,14,16,16,13,7,7,5,5,12,7,8,13,18,19,14,4,9,19,10
Penn. West,13,15,11,40,49,48,44,41,29,21,10,29,20,21,10,23,27,28,30,28,45,53,36
Puerto Rico,2,5,3,9,10,19,16,6,10,22,48,163,135,151,115,126,109,137,92,53,45,53,45
Rhode Island,16,16,22,13,12,13,4,7,20,19,27,8,15,4,10,5,5,6,4,2,5,4,5
South Carolina,46,83,96,81,77,91,107,110,107,120,71,52,59,43,64,106,156,152,67,68,57,86,92
South Dakota,11,13,8,11,15,16,22,22,18,15,14,21,21,20,33,36,35,41,52,57,64,65,75
Tennessee East,45,26,57,64,55,54,70,80,96,100,100,105,102,86,100,96,113,105,94,92,132,125,77
Tennessee Mid,18,19,23,46,33,41,44,52,67,60,42,25,22,24,17,21,34,40,45,65,78,66,65
Tennessee West,20,80,120,131,83,89,96,146,128,131,94,97,104,99,110,102,131,126,89,84,118,97,61
Texas East,32,47,56,65,94,89,77,71,83,72,80,81,67,50,42,45,72,48,66,71,78,83,136
Texas North,64,57,63,60,78,67,78,75,58,69,74,81,93,133,131,176,166,188,156,236,270,249,161
Texas South,141,106,99,146,132,119,106,112,113,124,124,90,94,108,111,149,150,141,119,138,136,135,156
Texas West,66,82,125,133,127,153,162,174,141,128,155,129,111,143,122,194,200,178,184,221,252,178,170
Utah,100,172,173,134,98,115,89,71,94,90,50,64,48,59,83,83,96,129,89,113,155,128,133
Vermont,13,6,20,14,11,16,16,14,10,13,12,14,9,7,5,4,6,12,14,11,17,18,12
Virgin Islands,6,2,2,4,1,2,7,10,6,7,7,3,3,6,7,9,4,2,2,4,4,1,0
Virginia East,74,62,76,46,52,70,54,68,68,52,39,45,39,33,57,53,69,53,34,48,56,68,68
Virginia West,46,49,42,40,43,26,21,17,22,12,20,10,6,3,14,12,8,12,15,12,7,11,18
W Virginia North,21,22,25,19,27,22,26,18,26,20,18,29,27,25,22,39,37,27,24,30,43,31,30
W Virginia South,16,32,18,34,15,18,25,19,18,32,20,23,26,17,16,27,31,42,46,34,38,27,23
Washington East,10,28,32,27,29,45,28,33,28,34,34,42,37,28,23,35,41,34,22,18,26,39,38
Washington West,13,11,27,31,28,27,25,30,42,40,44,41,33,28,35,48,39,23,13,20,13,16,14
Wisconsin East,31,22,31,37,25,31,47,48,63,43,63,46,34,27,46,23,34,24,23,21,38,45,30
Wisconsin West,10,12,18,17,20,18,15,17,11,9,15,18,14,14,17,4,14,21,26,27,22,20,15
Wyoming,9,21,41,25,33,40,39,33,26,27,32,20,21,17,16,29,33,18,18,35,18,26,28
