District,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Alabama Mid,62.83,52.78,645.09,34.85,35.42,50.34,53.74,64.64,40.11,40.0,44.82,48.67,60.22,44.1,34.65,42.15,44.85,44.55,39.64,41.35,41.67,47.48,48.45
Alabama North,188.5,36.8,236.25,41.72,41.56,55.17,58.73,49.48,54.59,58.49,49.01,50.45,42.27,46.39,41.15,49.03,55.44,50.32,41.65,41.87,45.16,43.96,36.8
Alabama South,53.3,41.52,63.56,49.0,49.79,280.0,37.87,57.48,57.26,45.38,55.92,50.73,52.51,39.53,47.04,40.93,37.18,41.83,47.96,36.0,38.16,42.82,42.14
Alaska,70.75,62.22,63.17,47.76,38.47,36.56,58.82,52.27,54.17,63.21,38.36,35.54,36.93,32.42,40.18,46.24,43.23,46.2,42.35,37.2,35.35,24.97,28.29
Arizona,27.03,29.18,28.22,25.38,21.76,26.42,20.56,28.74,26.68,22.57,24.2,31.15,29.12,25.53,19.08,22.17,27.65,28.12,30.54,30.07,28.36,25.07,22.95
Arkansas East,66.5,56.69,50.91,77.2,58.1,39.96,45.88,38.98,55.82,34.32,43.52,53.96,36.69,54.96,52.0,53.76,67.67,54.54,46.66,54.98,44.19,50.22,57.05
Arkansas West,56.14,27.71,13.8,26.2,37.4,26.46,32.36,35.76,38.71,40.29,69.92,47.52,39.64,58.39,41.11,41.54,51.4,50.73,64.24,56.68,57.4,64.15,72.46
California Central,37.19,34.28,38.47,26.53,33.96,37.68,37.6,37.96,38.25,32.07,33.91,44.74,43.25,30.9,41.35,38.76,37.55,35.2,27.78,38.18,39.23,38.82,38.33
California East,40.35,57.0,42.63,39.79,48.89,42.33,49.91,43.32,42.86,39.49,39.55,48.05,50.62,45.9,52.88,45.71,50.15,38.43,49.4,49.13,51.59,50.11,53.14
California North,45.14,46.46,48.81,44.67,53.05,45.12,50.74,51.24,50.42,44.11,46.69,47.86,43.65,46.96,40.95,39.17,40.01,35.95,27.11,29.49,27.11,22.16,30.48
California South,19.83,20.89,15.5,30.6,34.8,35.25,27.35,23.09,30.56,31.46,40.31,32.72,44.84,31.5,36.0,40.37,30.19,35.19,34.56,27.24,26.12,36.85,33.79
Colorado,36.43,35.98,35.92,37.0,44.55,36.91,46.22,39.84,34.76,38.15,35.08,47.32,44.89,42.88,34.76,36.05,35.21,42.31,43.64,40.24,46.13,49.21,42.28
Connecticut,70.61,62.69,48.95,60.3,50.26,50.42,57.22,51.39,65.05,45.1,50.55,54.68,49.75,50.15,35.22,37.17,46.93,28.0,28.94,23.95,30.17,39.68,47.35
Delaware,26.0,28.6,37.71,56.05,37.83,37.92,36.69,29.43,27.92,36.86,46.15,50.2,32.45,44.5,59.75,33.75,36.25,48.0,51.0,48.17,46.0,50.38,34.57
Dist of Columbia,38.38,38.73,49.26,41.08,42.89,50.59,34.0,43.44,64.0,40.14,55.0,48.62,55.93,52.67,31.2,34.56,41.25,29.87,25.08,24.92,42.82,40.92,41.59
Florida Mid,45.27,44.82,55.65,49.52,48.05,61.62,64.5,53.04,51.36,47.19,58.77,45.34,41.68,50.68,56.22,56.59,54.98,41.73,41.75,57.48,58.68,51.97,52.95
Florida North,52.41,65.38,58.96,41.9,43.0,100.79,50.43,69.3,73.47,43.5,61.61,72.3,52.34,59.93,53.46,51.11,51.14,45.12,51.22,64.14,69.73,53.77,59.74
Florida South,57.88,38.05,65.56,61.08,37.76,74.73,67.93,66.71,56.06,56.08,52.16,54.72,45.21,63.15,55.71,55.84,50.31,47.86,45.09,44.79,56.44,51.87,47.04
Georgia Mid,43.11,46.54,48.79,43.52,48.52,47.29,41.61,40.69,36.29,47.73,28.73,95.25,39.2,52.05,48.2,55.74,68.41,55.65,53.59,53.73,61.79,61.98,64.21
Georgia North,41.66,54.21,55.95,41.2,43.38,49.74,73.71,43.38,57.7,46.1,51.5,51.45,57.88,56.8,49.45,41.5,60.45,47.17,48.9,35.0,40.59,51.22,45.16
Georgia South,52.8,46.47,65.46,56.11,66.11,60.21,52.92,60.51,57.28,61.24,61.62,63.94,63.96,78.64,67.41,63.24,50.11,52.49,55.49,53.54,46.65,56.12,57.96
Guam,29.0,15.0,23.0,18.67,100.0,15.33,19.2,43.0,9.0,0.0,27.0,46.0,43.75,45.0,0.0,8.0,34.5,8.25,12.25,33.5,0,35.5,10.0
Hawaii,53.5,27.1,31.33,28.16,31.83,30.64,34.82,48.86,53.83,24.1,37.0,28.85,52.5,33.0,34.5,51.75,30.67,39.14,25.75,26.0,33.86,34.5,49.0
Idaho,27.14,37.36,28.12,25.19,29.28,33.15,40.3,44.92,35.26,36.45,40.61,24.2,24.38,26.14,37.44,26.68,39.2,35.65,28.8,28.88,36.44,23.19,35.63
Illinois Cent,63.0,47.48,77.17,59.42,63.38,48.22,55.95,49.18,74.96,56.8,56.06,53.14,48.76,54.5,50.59,55.86,67.0,70.94,62.35,42.16,54.67,55.39,49.59
